application_slug,library_prep,note
rnaseq,NEBNext Ultra II Directional RNA Library Prep,
rnaseq,NEBNext Directional RNA Library Prep [rRNA removal bacteria],
rnaseq,NEBNext directional RNA library prep [rRNA & globin removal],
rnaseq,Illumina Stranded RiboZero Plus low-input Library Prep,
rnaseq,SMART-seq rRNA depletion H/M/R library prep,
rnaseq,SMART-seq ultra-low mammalian library prep,
rnaseq,Other,
mirna-seq,miRNA-seq library prep,
mirna-seq,Other,
metagenomics-16s-18s,16S library prep,
metagenomics-16s-18s,18S library prep,
metagenomics-16s-18s,Other,
shotgun-metagenomics,NEBNext DNA library prep,
shotgun-metagenomics,Other,
chip-seq-cut-and-run,ChIP-seq library prep,
chip-seq-cut-and-run,Cut&run library prep,
chip-seq-cut-and-run,Other,
rrbs,RRBS library prep,
rrbs,Other,
nanopore,Nanopore DNA ligation library prep,"Nanopore kit, no service in the price list"
nanopore,Nanopore DNA rapid library prep,"Nanopore kit, no service in the price list"
nanopore,Other,
exome-seq,Twist Exome library prep,
exome-seq,Other,
amplicon-seq,Amplicon library prep,
amplicon-seq,Other,
dna-seq,NEBNext DNA library prep,
dna-seq,Other,
